state,year,loans
Wisconsin,2022,"1,572"
Wisconsin,2023,"1,677"
Wisconsin,2024,"1,696"
Wyoming,2016,958
Wyoming,2017,677
Wyoming,2018,734
Wyoming,2019,577
Wyoming,2020,421
Wyoming,2021,377
Wyoming,2022,588
Wyoming,2023,414
Wyoming,2024,500
