,state,year,Unnamed: 2,policy,grant
238,Montana,2020,"1,481",0,473440
239,Montana,2021,"1,449",0,477869
240,Montana,2022,"1,709",0,487706
241,Montana,2023,"1,623",1,497225
242,Montana,2024,"1,477",1,495721
243,Nebraska,2016,"2,499",0,456271
244,Nebraska,2017,"2,328",0,455456
245,Nebraska,2018,"1,383",0,476712
246,Nebraska,2019,"1,489",0,475433
247,Nebraska,2020,"1,188",0,488306
248,Nebraska,2021,861,0,493190
249,Nebraska,2022,375,0,503977
250,Nebraska,2023,319,1,514492
251,Nebraska,2024,326,1,512888
252,Nevada,2016,188,0,417447
253,Nevada,2017,186,0,416818
254,Nevada,2018,139,0,441065
255,Nevada,2019,177,0,440065
256,Nevada,2020,70,0,454921
257,Nevada,2021,57,0,460972
258,Nevada,2022,120,0,474021
259,Nevada,2023,126,1,485544
260,Nevada,2024,78,1,484207
261,New Hampshire,2016,591,0,430278
262,New Hampshire,2017,"1,023",0,429457
263,New Hampshire,2018,302,0,449192
264,New Hampshire,2019,"1,394",0,447994
265,New Hampshire,2020,874,0,460058
266,New Hampshire,2021,"1,005",0,464604
267,New Hampshire,2022,899,0,474725
268,New Hampshire,2023,996,1,484546
269,New Hampshire,2024,"1,129",1,483030
270,New Jersey,2016,285,0,489504
271,New Jersey,2017,306,0,487507
272,New Jersey,2018,292,0,526437
273,New Jersey,2019,462,0,524008
274,New Jersey,2020,562,0,546122
275,New Jersey,2021,481,0,554384
276,New Jersey,2022,296,0,573807
277,New Jersey,2023,313,1,597886
278,New Jersey,2024,239,1,590377
279,New Mexico,2016,510,0,444847
280,New Mexico,2017,871,0,443853
281,New Mexico,2018,616,0,465408
282,New Mexico,2019,592,0,464017
283,New Mexico,2020,268,0,477118
284,New Mexico,2021,388,0,482041
285,New Mexico,2022,347,0,493127
286,New Mexico,2023,837,1,503561
287,New Mexico,2024,695,1,502194
288,New York,2016,"8,800",0,708323
289,New York,2017,"8,769",0,704725
290,New York,2018,"7,366",0,770787
291,New York,2019,"7,365",0,766225
292,New York,2020,"5,632",0,801852
293,New York,2021,"5,883",0,815061
294,New York,2022,"4,903",0,845925
295,New York,2023,"5,506",1,883523
296,New York,2024,"5,372",1,873503
297,North Carolina,2016,"4,102",0,553294
298,North Carolina,2017,"1,600",0,551873
299,North Carolina,2018,"1,425",0,594979
300,North Carolina,2019,"1,605",0,593028
301,North Carolina,2020,769,0,619808
302,North Carolina,2021,562,0,630688
303,North Carolina,2022,638,0,653817
304,North Carolina,2023,941,1,672768
305,North Carolina,2024,943,1,671942
306,North Dakota,2016,155,0,371524
307,North Dakota,2017,171,0,370935
308,North Dakota,2018,195,0,389172
309,North Dakota,2019,180,0,387991
310,North Dakota,2020,140,0,399052
311,North Dakota,2021,354,0,403254
312,North Dakota,2022,397,0,412578
313,North Dakota,2023,329,1,421517
314,North Dakota,2024,317,1,420235
315,Ohio,2016,93,0,567860
316,Ohio,2017,118,0,565396
317,Ohio,2018,124,0,611257
318,Ohio,2019,375,0,607975
319,Ohio,2020,202,0,635782
320,Ohio,2021,441,0,645924
321,Ohio,2022,274,0,668913
322,Ohio,2023,442,1,691295
323,Ohio,2024,336,1,688158
324,Oklahoma,2016,"2,204",0,432964
325,Oklahoma,2017,"1,856",0,431978
326,Oklahoma,2018,"1,888",0,458377
327,Oklahoma,2019,"2,726",0,456538
328,Oklahoma,2020,"2,605",0,472476
329,Oklahoma,2021,"2,174",0,478582
330,Oklahoma,2022,"3,278",0,492208
331,Oklahoma,2023,"4,350",1,504673
332,Oklahoma,2024,"4,468",1,503284
333,Oregon,2016,346,0,426057
334,Oregon,2017,561,0,425297
335,Oregon,2018,619,0,452625
336,Oregon,2019,575,0,451241
337,Oregon,2020,220,0,467972
338,Oregon,2021,193,0,474395
339,Oregon,2022,146,0,488347
340,Oregon,2023,188,1,501083
341,Oregon,2024,196,1,499661
342,Pennsylvania,2016,"1,990",0,696350
343,Pennsylvania,2017,"1,533",0,693639
344,Pennsylvania,2018,"1,710",0,742294
345,Pennsylvania,2019,"1,591",0,738456
346,Pennsylvania,2020,768,0,767598
347,Pennsylvania,2021,"1,141",0,778285
348,Pennsylvania,2022,"1,805",0,802319
349,Pennsylvania,2023,"2,195",1,827442
350,Pennsylvania,2024,"2,149",1,822834
351,Rhode Island,2016,187,0,370261
352,Rhode Island,2017,202,0,369462
353,Rhode Island,2018,200,0,388450
354,Rhode Island,2019,181,0,387264
355,Rhode Island,2020,267,0,398690
356,Rhode Island,2021,130,0,403055
357,Rhode Island,2022,279,0,412668
358,Rhode Island,2023,324,1,422400
359,Rhode Island,2024,172,1,420653
360,South Carolina,2016,434,0,520063
361,South Carolina,2017,342,0,519200
362,South Carolina,2018,336,0,548740
363,South Carolina,2019,385,0,547308
364,South Carolina,2020,297,0,565523
365,South Carolina,2021,456,0,572955
366,South Carolina,2022,435,0,588757
367,South Carolina,2023,515,1,602064
368,South Carolina,2024,258,1,601164
369,South Dakota,2016,240,0,420122
370,South Dakota,2017,170,0,419398
371,South Dakota,2018,154,0,437966
372,South Dakota,2019,10,0,436838
373,South Dakota,2020,7,0,448176
374,South Dakota,2021,32,0,452451
375,South Dakota,2022,29,0,462001
376,South Dakota,2023,42,1,470969
377,South Dakota,2024,35,1,469794
378,Tennessee,2016,631,0,448702
379,Tennessee,2017,548,0,447418
380,Tennessee,2018,593,0,481125
381,Tennessee,2019,410,0,479299
382,Tennessee,2020,321,0,499981
383,Tennessee,2021,276,0,508259
384,Tennessee,2022,298,0,525985
385,Tennessee,2023,247,1,543031
386,Tennessee,2024,247,1,540247
387,Texas,2016,394,0,892445
388,Texas,2017,297,0,891985
389,Texas,2018,342,0,982921
390,Texas,2019,445,0,980364
391,Texas,2020,255,0,1038080
392,Texas,2021,300,0,1061597
393,Texas,2022,296,0,1111656
394,Texas,2023,341,1,1155054
395,Texas,2024,348,1,1150129
396,Utah,2016,0,0,457285
397,Utah,2017,0,0,456650
398,Utah,2018,209,0,481238
399,Utah,2019,172,0,480124
400,Utah,2020,110,0,495441
401,Utah,2021,124,0,501549
402,Utah,2022,141,0,514540
403,Utah,2023,314,1,527524
